order_id,customer_id,order_date,status
1,89,2024-06-23,completed
2,6300,2024-02-22,completed
3,8380,2024-06-21,completed
4,5172,2024-07-29,completed
5,1555,2024-07-31,completed
6,5600,2024-07-16,completed
7,8422,2024-10-22,completed
8,55,2024-01-03,completed
9,4367,2024-02-18,completed
10,4032,2024-01-14,completed
11,9316,2024-07-24,completed
12,3141,2024-07-12,completed
13,8079,2024-10-07,completed
14,1553,2024-09-16,completed
15,7796,2024-09-03,completed
16,5272,2024-03-03,completed
17,116,2024-02-24,completed
18,3614,2024-09-14,completed
19,6373,2024-01-23,completed
20,8552,2024-04-17,completed
21,8220,2024-06-24,completed
22,3838,2024-01-15,pending
23,3534,2024-05-31,completed
24,9611,2024-10-02,completed
25,5832,2024-02-07,completed
26,5964,2024-10-07,completed
27,1295,2024-03-26,pending
28,5971,2024-03-20,completed
29,7551,2024-06-19,pending
30,2076,2024-03-11,completed
31,7367,2024-03-28,completed
32,5208,2024-02-26,pending
33,5818,2024-06-15,completed
34,1779,2024-04-28,completed
35,374,2024-10-11,completed
36,7558,2024-08-23,completed
37,9324,2024-01-20,cancelled
38,1574,2024-01-07,completed
39,6027,2024-07-28,completed
40,4445,2024-08-25,completed
41,788,2024-04-23,completed
42,1546,2024-06-06,completed
43,8562,2024-05-06,cancelled
44,4375,2024-07-21,completed
45,5448,2024-08-11,completed
46,9895,2024-03-10,completed
47,9850,2024-04-29,pending
48,4056,2024-06-01,completed
49,607,2024-01-23,completed
50,2577,2024-05-19,completed
51,6570,2024-04-21,completed
52,4125,2024-05-17,pending
53,5052,2024-06-28,completed
54,323,2024-04-28,completed
55,584,2024-05-09,completed
56,5390,2024-07-06,pending
57,8848,2024-03-21,pending
58,4882,2024-07-19,completed
59,8415,2024-03-14,completed
60,2123,2024-10-04,completed
61,7700,2024-05-05,completed
62,7797,2024-06-04,completed
63,2221,2024-07-01,completed
64,5124,2024-04-15,completed
65,3551,2024-05-26,completed
66,5780,2024-01-01,completed
67,4929,2024-07-02,completed
68,167,2024-03-28,completed
69,6444,2024-07-10,completed
70,8310,2024-03-27,completed
71,6656,2024-03-09,cancelled
72,7343,2024-04-19,completed
73,2207,2024-06-20,completed
74,1251,2024-06-25,completed
75,4007,2024-04-08,completed
76,4559,2024-02-05,completed
77,9864,2024-08-12,completed
78,2152,2024-10-19,completed
79,5078,2024-09-09,completed
80,2298,2024-02-20,completed
81,9229,2024-10-19,completed
82,2615,2024-06-01,completed
83,1880,2024-08-24,completed
84,8789,2024-09-17,completed
85,621,2024-05-15,completed
86,6699,2024-09-10,completed
87,5508,2024-04-14,completed
88,8263,2024-10-09,completed
89,1804,2024-03-24,pending
90,7117,2024-07-17,completed
91,4534,2024-02-14,completed
92,9260,2024-07-07,pending
93,1926,2024-02-19,completed
94,1038,2024-07-19,completed
95,3184,2024-06-23,pending
96,9595,2024-05-21,completed
97,9631,2024-10-01,pending
98,8677,2024-07-08,completed
99,4265,2024-05-13,pending
100,4899,2024-04-10,completed
101,8438,2024-09-25,completed
102,6122,2024-02-02,completed
103,5790,2024-04-25,completed
104,3372,2024-04-06,pending
105,1351,2024-02-10,completed
106,8722,2024-07-25,completed
107,5715,2024-01-29,completed
108,3815,2024-09-19,completed
109,7148,2024-04-04,cancelled
110,6486,2024-06-30,completed
111,9981,2024-01-11,completed
112,9895,2024-02-11,cancelled
113,3626,2024-09-17,completed
114,8952,2024-01-02,completed
115,8118,2024-02-12,completed
116,9596,2024-01-04,completed
117,8990,2024-04-04,pending
118,532,2024-02-28,completed
119,4138,2024-01-30,pending
120,599,2024-03-28,completed
121,7429,2024-08-07,completed
122,8498,2024-05-07,completed
123,4905,2024-06-19,completed
124,2910,2024-08-12,pending
125,679,2024-09-30,pending
126,3385,2024-06-13,pending
127,8923,2024-06-06,completed
128,2026,2024-07-15,cancelled
129,4229,2024-01-30,completed
130,2767,2024-07-14,cancelled
131,2099,2024-06-17,completed
132,6762,2024-03-07,completed
133,392,2024-07-02,pending
134,3785,2024-08-25,completed
135,6667,2024-07-20,completed
136,3838,2024-04-18,completed
137,1686,2024-08-05,completed
138,6498,2024-03-16,completed
139,2915,2024-01-02,completed
140,7117,2024-01-11,completed
141,9611,2024-03-16,pending
142,3727,2024-04-01,completed
143,4952,2024-04-06,cancelled
144,6059,2024-06-18,completed
145,7656,2024-09-15,completed
146,4611,2024-10-23,completed
147,7822,2024-03-23,completed
148,1085,2024-03-22,pending
149,7584,2024-10-19,completed
150,9200,2024-08-10,pending
151,1318,2024-09-19,completed
152,6881,2024-02-07,completed
153,2350,2024-05-12,completed
154,7338,2024-03-01,pending
155,2694,2024-03-23,completed
156,7209,2024-07-23,completed
157,6882,2024-01-28,completed
158,3723,2024-07-03,cancelled
159,3694,2024-05-09,completed
160,4393,2024-03-10,completed
161,7225,2024-07-25,completed
162,7803,2024-06-04,completed
163,5718,2024-02-06,cancelled
164,3135,2024-08-04,pending
165,2599,2024-04-05,pending
166,4053,2024-09-05,completed
167,3825,2024-07-01,completed
168,3521,2024-04-10,completed
169,1250,2024-08-15,completed
170,6587,2024-01-03,completed
171,7844,2024-03-11,completed
172,2075,2024-04-06,completed
173,2505,2024-03-25,completed
174,2015,2024-08-26,pending
175,4945,2024-06-24,completed
176,949,2024-10-19,completed
177,107,2024-05-10,completed
178,4693,2024-06-25,completed
179,8347,2024-04-10,pending
180,3241,2024-08-04,completed
181,8988,2024-07-06,completed
182,9763,2024-09-02,completed
183,5304,2024-09-25,completed
184,1635,2024-06-29,completed
185,1533,2024-06-02,completed
186,7609,2024-06-29,completed
187,1441,2024-02-26,completed
188,9591,2024-02-15,completed
189,3647,2024-03-26,pending
190,5600,2024-08-22,completed
191,1616,2024-03-22,pending
192,9706,2024-06-26,completed
193,7995,2024-04-02,completed
194,6297,2024-07-16,completed
195,2599,2024-06-10,completed
196,9037,2024-08-13,completed
197,3531,2024-07-11,completed
198,7591,2024-05-25,completed
199,2328,2024-09-10,completed
200,6566,2024-10-09,completed
201,7768,2024-01-10,completed
202,1977,2024-05-09,completed
203,1836,2024-03-31,completed
204,4900,2024-03-03,cancelled
205,355,2024-01-15,completed
206,9798,2024-08-29,pending
207,4474,2024-07-11,completed
208,3196,2024-08-03,pending
209,9180,2024-09-18,completed
210,8346,2024-08-08,completed
211,907,2024-05-13,completed
212,7199,2024-10-20,completed
213,1621,2024-01-15,completed
214,4419,2024-01-29,cancelled
215,8524,2024-09-14,completed
216,4339,2024-07-19,pending
217,430,2024-03-28,completed
218,5302,2024-06-10,completed
219,2424,2024-01-24,completed
220,8273,2024-08-28,completed
221,1574,2024-04-11,completed
222,8036,2024-10-07,completed
223,420,2024-04-26,completed
224,467,2024-02-02,pending
225,5177,2024-09-10,completed
226,3394,2024-10-25,completed
227,9758,2024-01-17,completed
228,9711,2024-01-07,completed
229,7434,2024-01-27,completed
230,7395,2024-02-05,pending
231,2036,2024-09-27,completed
232,8996,2024-03-10,completed
233,9270,2024-07-03,completed
234,1633,2024-08-15,completed
235,1985,2024-03-09,completed
236,7122,2024-02-22,completed
237,4,2024-08-24,completed
238,7478,2024-07-15,pending
239,5999,2024-01-02,completed
240,603,2024-04-16,completed
241,7257,2024-05-25,completed
242,8693,2024-06-08,pending
243,6715,2024-08-26,completed
244,8377,2024-05-05,completed
245,3252,2024-06-05,completed
246,3148,2024-07-26,completed
247,9488,2024-07-21,completed
248,8145,2024-05-06,cancelled
249,55,2024-10-10,completed
250,9917,2024-06-03,completed
251,2911,2024-05-15,completed
252,1871,2024-05-30,completed
253,3349,2024-02-01,completed
254,1602,2024-01-15,completed
255,5768,2024-05-07,completed
256,5831,2024-04-05,completed
257,8121,2024-04-10,completed
258,7044,2024-04-27,completed
259,2091,2024-01-10,completed
260,5481,2024-04-26,completed
261,9444,2024-06-28,completed
262,6371,2024-08-11,completed
263,5183,2024-08-11,completed
264,171,2024-09-04,completed
265,2810,2024-09-10,completed
266,6994,2024-05-16,completed
267,7930,2024-08-17,completed
268,9966,2024-02-10,completed
269,6712,2024-02-09,completed
270,3992,2024-09-28,completed
271,7136,2024-09-08,completed
272,827,2024-01-25,completed
273,9858,2024-05-17,pending
274,130,2024-01-09,completed
275,1418,2024-10-22,completed
276,6799,2024-02-26,completed
277,6774,2024-04-28,completed
278,1408,2024-09-19,completed
279,5137,2024-06-19,cancelled
280,8786,2024-07-22,completed
281,1038,2024-02-26,completed
282,7547,2024-05-24,completed
283,5904,2024-01-25,completed
284,23,2024-04-20,completed
285,9826,2024-02-24,completed
286,6288,2024-05-26,completed
287,1406,2024-02-01,completed
288,9671,2024-03-27,completed
289,6468,2024-06-08,completed
290,1195,2024-03-12,completed
291,8768,2024-01-22,completed
292,7924,2024-08-25,completed
293,1607,2024-07-01,completed
294,8644,2024-05-15,completed
295,8317,2024-02-15,completed
296,6251,2024-01-05,completed
297,1684,2024-01-12,completed
298,9099,2024-01-27,completed
299,8622,2024-03-24,completed
300,2752,2024-02-05,completed
301,7505,2024-02-21,completed
302,7664,2024-05-09,completed
303,8554,2024-03-14,completed
304,8624,2024-09-04,completed
305,2723,2024-01-12,completed
306,5640,2024-02-24,pending
307,3224,2024-09-10,completed
308,5442,2024-06-07,completed
309,9823,2024-03-31,cancelled
310,7382,2024-06-08,pending
311,5185,2024-04-13,completed
312,270,2024-03-31,completed
313,7705,2024-10-07,completed
314,6116,2024-03-08,cancelled
315,9316,2024-06-20,completed
316,7299,2024-06-19,pending
317,4534,2024-05-22,completed
318,1043,2024-08-12,pending
319,1642,2024-07-15,completed
320,6604,2024-07-16,cancelled
321,3298,2024-06-21,completed
322,7056,2024-06-01,completed
323,1384,2024-06-01,pending
324,3997,2024-01-10,pending
325,15,2024-07-08,pending
326,1675,2024-01-12,completed
327,5100,2024-01-29,completed
328,3618,2024-02-12,completed
329,8100,2024-03-28,completed
330,6558,2024-04-20,pending
331,5475,2024-03-09,completed
332,1481,2024-04-28,completed
333,9938,2024-09-23,completed
334,7699,2024-09-03,pending
335,3047,2024-01-22,completed
336,7364,2024-07-10,pending
337,5958,2024-03-30,completed
338,4211,2024-05-13,completed
339,5472,2024-10-25,completed
340,976,2024-05-04,completed
341,1686,2024-07-08,pending
342,2084,2024-03-22,completed
343,1687,2024-08-14,completed
344,4159,2024-06-28,pending
345,6810,2024-05-31,completed
346,8701,2024-06-02,completed
347,188,2024-08-08,completed
348,2783,2024-10-20,completed
349,4189,2024-02-05,completed
350,4101,2024-05-01,completed
351,2073,2024-06-30,completed
352,6652,2024-04-05,completed
353,98,2024-04-13,completed
354,9484,2024-03-22,completed
355,6806,2024-01-24,completed
356,3465,2024-06-16,completed
357,1788,2024-04-12,completed
358,7764,2024-09-20,completed
359,5405,2024-08-18,completed
360,684,2024-06-30,cancelled
361,1133,2024-04-24,completed
362,5878,2024-09-23,completed
363,6199,2024-08-14,completed
364,3837,2024-08-03,completed
365,9807,2024-10-24,completed
366,1042,2024-09-18,completed
367,5890,2024-01-03,completed
368,855,2024-02-05,completed
369,5739,2024-07-02,completed
370,2027,2024-06-28,completed
371,5366,2024-05-04,completed
372,2551,2024-06-08,completed
373,7090,2024-04-21,completed
374,240,2024-05-13,completed
375,490,2024-07-20,completed
376,1037,2024-05-31,completed
377,9531,2024-03-17,completed
378,6133,2024-09-21,pending
379,4781,2024-09-10,completed
380,7910,2024-03-10,completed
381,3270,2024-01-23,completed
382,6123,2024-07-31,completed
383,5711,2024-09-29,pending
384,1768,2024-04-07,completed
385,4709,2024-05-02,completed
386,8354,2024-01-25,completed
387,8848,2024-02-07,completed
388,3007,2024-09-15,completed
389,1257,2024-07-13,pending
390,7078,2024-09-26,completed
391,5352,2024-09-22,completed
392,750,2024-03-06,pending
393,709,2024-07-17,completed
394,6417,2024-05-21,completed
395,9814,2024-08-28,pending
396,6951,2024-07-27,cancelled
397,8658,2024-05-05,completed
398,9293,2024-09-22,pending
399,1714,2024-06-24,completed
400,7937,2024-02-16,pending
401,8309,2024-02-29,completed
402,196,2024-10-07,completed
403,4715,2024-05-14,pending
404,9667,2024-04-30,completed
405,1275,2024-06-15,completed
406,3710,2024-02-12,completed
407,339,2024-02-15,completed
408,6762,2024-08-04,completed
409,3512,2024-10-25,completed
410,4276,2024-10-11,completed
411,1657,2024-04-12,completed
412,6763,2024-03-26,completed
413,8835,2024-07-12,completed
414,9873,2024-08-01,completed
415,9543,2024-08-13,completed
416,5274,2024-07-15,completed
417,8811,2024-06-03,completed
418,1170,2024-01-03,completed
419,8444,2024-10-03,cancelled
420,8174,2024-01-24,cancelled
421,302,2024-05-27,pending
422,1567,2024-01-13,completed
423,7817,2024-08-05,completed
424,2211,2024-06-19,completed
425,7231,2024-03-18,completed
426,8804,2024-08-26,pending
427,6589,2024-09-01,completed
428,1944,2024-04-11,pending
429,8266,2024-01-30,completed
430,4638,2024-09-27,cancelled
431,8349,2024-07-21,completed
432,5386,2024-07-30,completed
433,256,2024-06-01,pending
434,3111,2024-06-14,completed
435,9244,2024-02-12,completed
436,5033,2024-02-09,completed
437,6262,2024-05-30,completed
438,2418,2024-02-13,completed
439,2257,2024-03-21,completed
440,2635,2024-09-13,completed
441,1892,2024-04-12,completed
442,3465,2024-02-10,completed
443,9968,2024-07-06,completed
444,7427,2024-07-26,completed
445,1971,2024-04-17,completed
446,3954,2024-07-12,completed
447,5819,2024-02-26,pending
448,6772,2024-04-30,completed
449,6749,2024-10-24,completed
450,5004,2024-03-25,completed
451,649,2024-03-06,completed
452,9833,2024-03-10,completed
453,8721,2024-08-20,completed
454,2102,2024-08-30,pending
455,419,2024-09-23,completed
456,2353,2024-01-04,completed
457,5776,2024-03-19,completed
458,8277,2024-08-05,completed
459,7692,2024-08-23,completed
460,1752,2024-03-19,completed
461,2658,2024-06-25,completed
462,6124,2024-08-29,completed
463,5525,2024-06-13,completed
464,2352,2024-10-02,pending
465,8072,2024-06-26,completed
466,1290,2024-06-07,completed
467,2703,2024-10-26,completed
468,8836,2024-01-31,completed
469,2906,2024-02-10,completed
470,4670,2024-01-04,completed
471,2923,2024-09-26,pending
472,6655,2024-06-22,completed
473,2022,2024-04-01,completed
474,3625,2024-03-29,completed
475,6345,2024-03-27,pending
476,7779,2024-02-02,completed
477,137,2024-05-16,completed
478,4226,2024-06-14,completed
479,9411,2024-03-29,completed
480,9210,2024-03-22,completed
481,3141,2024-02-12,completed
482,2588,2024-05-14,completed
483,6670,2024-10-22,completed
484,2606,2024-04-28,completed
485,5005,2024-07-01,completed
486,8401,2024-02-04,completed
487,7505,2024-06-19,completed
488,3811,2024-01-11,completed
489,6081,2024-03-19,pending
490,7409,2024-05-12,completed
491,4154,2024-06-16,completed
492,3377,2024-08-23,completed
493,1369,2024-01-21,cancelled
494,7810,2024-05-16,completed
495,3801,2024-06-03,completed
496,1038,2024-09-29,completed
497,993,2024-03-06,completed
498,7313,2024-08-19,completed
499,4511,2024-01-26,completed
500,394,2024-07-18,completed
501,8006,2024-06-21,pending
502,3687,2024-07-01,completed
503,358,2024-02-09,completed
504,4005,2024-09-28,completed
505,1182,2024-07-30,completed
506,6818,2024-08-11,completed
507,2066,2024-06-08,completed
508,6872,2024-02-04,completed
509,3130,2024-04-30,completed
510,155,2024-10-12,completed
511,9747,2024-06-18,cancelled
512,8679,2024-08-18,completed
513,6295,2024-04-09,completed
514,9575,2024-08-20,completed
515,2416,2024-01-02,completed
516,1071,2024-01-16,completed
517,2255,2024-08-08,completed
518,8043,2024-09-19,completed
519,9699,2024-07-01,completed
520,7808,2024-01-23,completed
521,6841,2024-09-03,cancelled
522,6714,2024-09-13,completed
523,2191,2024-04-25,completed
524,7265,2024-03-09,completed
525,9263,2024-05-20,pending
526,8383,2024-02-21,pending
527,8332,2024-04-05,completed
528,7399,2024-02-24,completed
529,2973,2024-10-11,pending
530,1515,2024-05-25,completed
531,3971,2024-10-09,pending
532,4720,2024-02-19,completed
533,1346,2024-10-24,completed
534,1918,2024-07-13,cancelled
535,7642,2024-08-09,pending
536,8645,2024-05-17,completed
537,1612,2024-01-09,completed
538,2079,2024-01-03,completed
539,2065,2024-02-07,completed
540,7380,2024-03-10,pending
541,5780,2024-03-09,completed
542,9451,2024-06-06,completed
543,7151,2024-09-26,cancelled
544,354,2024-01-02,pending
545,5719,2024-04-10,pending
546,3637,2024-05-15,completed
547,9756,2024-07-31,completed
548,6045,2024-03-23,completed
549,712,2024-09-30,pending
550,9049,2024-05-20,completed
551,4273,2024-05-19,completed
552,1430,2024-10-22,completed
553,6445,2024-03-28,pending
554,3421,2024-10-07,completed
555,2069,2024-08-28,completed
556,7160,2024-04-21,cancelled
557,4807,2024-05-20,completed
558,6845,2024-05-31,completed
559,8344,2024-07-22,completed
560,3232,2024-09-14,completed
561,2907,2024-10-01,completed
562,3552,2024-08-01,completed
563,9659,2024-10-06,pending
564,4192,2024-07-07,cancelled
565,3424,2024-05-12,completed
566,4058,2024-03-20,completed
567,5195,2024-04-10,pending
568,3666,2024-03-04,completed
569,4736,2024-01-12,completed
570,9349,2024-05-02,completed
571,6390,2024-04-18,completed
572,7883,2024-07-05,completed
573,5290,2024-07-24,completed
574,7799,2024-02-16,pending
575,3409,2024-04-08,completed
576,1162,2024-08-21,completed
577,1260,2024-08-08,completed
578,4091,2024-03-18,completed
579,5691,2024-08-04,completed
580,2982,2024-06-22,completed
581,8066,2024-04-15,completed
582,3555,2024-06-13,completed
583,9417,2024-04-22,completed
584,2390,2024-05-25,completed
585,8159,2024-05-11,completed
586,1015,2024-03-24,completed
587,5730,2024-01-01,completed
588,3714,2024-09-09,completed
589,1493,2024-01-24,completed
590,7586,2024-10-24,completed
591,4123,2024-07-06,cancelled
592,9893,2024-04-20,completed
593,455,2024-01-24,completed
594,918,2024-02-25,completed
595,6724,2024-03-09,completed
596,8206,2024-01-18,cancelled
597,6242,2024-08-15,completed
598,4375,2024-02-27,completed
599,6060,2024-06-11,completed
600,490,2024-05-11,completed
601,985,2024-08-06,completed
602,961,2024-10-10,completed
603,8051,2024-05-18,completed
604,1783,2024-01-03,completed
605,5984,2024-09-15,completed
606,1870,2024-10-07,completed
607,2645,2024-01-12,completed
608,6839,2024-02-22,completed
609,4346,2024-09-10,completed
610,5703,2024-04-05,completed
611,8076,2024-08-19,completed
612,7631,2024-09-22,completed
613,5903,2024-04-21,completed
614,6033,2024-02-16,completed
615,1826,2024-06-30,completed
616,3111,2024-08-22,completed
617,3771,2024-09-10,pending
618,30,2024-01-07,completed
619,8959,2024-10-14,completed
620,8807,2024-10-05,completed
621,9197,2024-07-13,completed
622,2122,2024-01-25,completed
623,3010,2024-01-06,cancelled
624,3820,2024-05-22,pending
625,7740,2024-07-09,pending
626,8216,2024-05-27,completed
627,4060,2024-06-19,completed
628,2911,2024-04-05,completed
629,1971,2024-07-13,completed
630,9731,2024-09-16,completed
631,6656,2024-08-23,completed
632,4768,2024-01-06,completed
633,8763,2024-02-28,completed
634,1243,2024-09-05,completed
635,713,2024-02-21,pending
636,9486,2024-10-01,completed
637,2867,2024-05-01,completed
638,9867,2024-01-26,completed
639,6154,2024-08-04,completed
640,5588,2024-07-01,completed
641,9552,2024-03-29,pending
642,8828,2024-02-07,completed
643,9402,2024-03-24,completed
644,7714,2024-04-17,completed
645,6862,2024-06-11,completed
646,1298,2024-07-15,completed
647,358,2024-09-09,completed
648,5103,2024-08-14,completed
649,241,2024-01-03,completed
650,6855,2024-10-23,pending
651,1827,2024-06-08,pending
652,8116,2024-10-18,pending
653,3559,2024-01-30,completed
654,3861,2024-04-25,pending
655,4448,2024-06-15,completed
656,4140,2024-04-02,completed
657,138,2024-08-05,completed
658,3735,2024-04-18,completed
659,1968,2024-03-29,pending
660,6580,2024-07-06,completed
661,4850,2024-07-02,completed
662,8335,2024-07-28,pending
663,7168,2024-07-04,completed
664,5943,2024-10-08,completed
665,7467,2024-07-02,completed
666,6406,2024-05-16,pending
667,5516,2024-10-14,completed
668,8052,2024-04-16,completed
669,2020,2024-03-28,completed
670,6175,2024-05-04,completed
671,7093,2024-07-15,completed
672,2850,2024-04-19,completed
673,1193,2024-02-17,completed
674,2356,2024-07-08,pending
675,2507,2024-04-20,pending
676,334,2024-08-09,completed
677,2563,2024-03-09,completed
678,1796,2024-07-02,completed
679,254,2024-06-12,completed
680,3658,2024-10-18,completed
681,7503,2024-01-07,completed
682,9616,2024-08-08,completed
683,3238,2024-08-06,completed
684,3332,2024-02-27,completed
685,1028,2024-10-02,pending
686,2167,2024-02-20,completed
687,470,2024-08-02,completed
688,7661,2024-06-09,completed
689,7906,2024-01-01,completed
690,5984,2024-03-07,completed
691,1094,2024-02-19,completed
692,4790,2024-02-04,completed
693,2913,2024-06-11,completed
694,5490,2024-04-06,pending
695,181,2024-01-13,completed
696,9413,2024-10-04,completed
697,4143,2024-02-25,cancelled
698,3624,2024-03-21,completed
699,4730,2024-07-20,completed
700,5260,2024-09-07,completed
701,8030,2024-08-06,completed
702,9756,2024-01-15,completed
703,4685,2024-04-18,pending
704,7855,2024-10-24,completed
705,3633,2024-05-03,completed
706,5974,2024-03-11,completed
707,6418,2024-07-03,pending
708,1563,2024-07-10,completed
709,1414,2024-02-29,completed
710,6505,2024-01-31,pending
711,1018,2024-02-24,completed
712,3655,2024-06-10,pending
713,6843,2024-08-12,pending
714,8950,2024-05-11,completed
715,6099,2024-04-11,pending
716,8813,2024-08-11,completed
717,3585,2024-08-18,pending
718,182,2024-02-28,completed
719,6830,2024-10-23,completed
720,2668,2024-08-05,completed
721,9992,2024-10-09,completed
722,6174,2024-03-19,cancelled
723,5422,2024-05-28,completed
724,9692,2024-03-31,completed
725,9177,2024-08-13,completed
726,2365,2024-05-18,pending
727,5517,2024-04-23,completed
728,3306,2024-01-22,completed
729,2216,2024-01-23,completed
730,126,2024-03-05,completed
731,2621,2024-02-28,cancelled
732,4216,2024-03-29,completed
733,1452,2024-07-16,completed
734,9201,2024-04-23,completed
735,9406,2024-01-28,completed
736,5548,2024-07-28,completed
737,6704,2024-08-26,completed
738,7370,2024-09-13,completed
739,3131,2024-10-11,completed
740,697,2024-02-15,completed
741,2271,2024-07-03,completed
742,9708,2024-05-19,completed
743,9227,2024-06-15,completed
744,9728,2024-07-31,completed
745,9006,2024-06-07,completed
746,8502,2024-02-08,completed
747,9204,2024-04-11,completed
748,9211,2024-04-19,completed
749,3412,2024-09-20,cancelled
750,3719,2024-10-24,completed
751,6718,2024-04-05,completed
752,4921,2024-03-01,completed
753,2045,2024-05-18,completed
754,1117,2024-08-17,completed
755,1157,2024-02-01,completed
756,989,2024-05-12,completed
757,5588,2024-08-22,completed
758,1829,2024-08-22,completed
759,7873,2024-08-29,cancelled
760,6089,2024-10-21,completed
761,2346,2024-09-05,completed
762,9277,2024-01-23,completed
763,3006,2024-08-12,completed
764,4436,2024-05-23,completed
765,6629,2024-03-12,completed
766,77,2024-08-12,completed
767,5753,2024-02-17,pending
768,2563,2024-02-03,completed
769,1573,2024-09-10,completed
770,7088,2024-03-03,pending
771,5971,2024-04-11,cancelled
772,7953,2024-01-17,completed
773,6610,2024-08-28,completed
774,8057,2024-10-16,completed
