CustomerID,Gender,Age,AnnualIncome,SpendingScore
CUST_000001,Male,34,58,89
CUST_000002,Female,47,90,30
CUST_000003,Female,41,27,41
CUST_000004,Female,26,63,84
CUST_000005,Male,52,40,91
CUST_000006,Male,19,68,74
CUST_000007,Male,37,22,69
CUST_000008,Female,26,66,42
CUST_000009,Female,20,98,21
CUST_000010,Female,23,49,38
CUST_000011,Male,34,29,58
CUST_000012,Female,38,73,45
CUST_000013,Female,45,53,1
CUST_000014,Male,49,78,51
CUST_000015,Male,37,81,76
CUST_000016,Male,30,80,100
CUST_000017,Male,45,59,27
CUST_000018,Female,28,96,58
CUST_000019,Male,19,75,32
CUST_000020,Male,44,45,60
CUST_000021,Female,48,46,15
CUST_000022,Male,26,86,15
CUST_000023,Male,54,73,43
CUST_000024,Male,40,45,64
CUST_000025,Female,39,52,20
CUST_000026,Female,29,58,1
CUST_000027,Male,45,76,81
CUST_000028,Female,19,55,42
CUST_000029,Female,31,86,26
CUST_000030,Male,27,67,47
CUST_000031,Female,21,87,20
CUST_000032,Male,43,37,10
CUST_000033,Male,38,90,80
CUST_000034,Female,43,83,44
CUST_000035,Female,32,61,53
CUST_000036,Female,44,49,34
CUST_000037,Male,35,86,77
CUST_000038,Male,30,50,45
CUST_000039,Female,28,59,81
CUST_000040,Male,18,70,34
CUST_000041,Male,46,37,28
CUST_000042,Female,45,56,24
CUST_000043,Male,64,41,64
CUST_000044,Female,31,28,74
CUST_000045,Male,28,101,36
CUST_000046,Female,18,46,54
CUST_000047,Male,44,72,42
CUST_000048,Female,42,101,80
CUST_000049,Female,50,47,40
CUST_000050,Male,25,34,57
CUST_000051,Female,42,95,79
CUST_000052,Female,29,41,47
CUST_000053,Female,48,51,35
CUST_000054,Female,40,48,43
CUST_000055,Female,19,63,49
CUST_000056,Female,33,23,60
CUST_000057,Male,18,72,52
CUST_000058,Male,23,69,73
CUST_000059,Male,23,77,42
CUST_000060,Male,28,76,16
CUST_000061,Male,32,69,40
CUST_000062,Male,36,53,74
CUST_000063,Female,36,61,81
CUST_000064,Male,34,46,73
CUST_000065,Male,38,63,99
CUST_000066,Female,22,44,31
CUST_000067,Male,35,62,86
CUST_000068,Female,49,51,74
CUST_000069,Male,33,43,48
CUST_000070,Female,39,81,1
CUST_000071,Female,39,75,43
CUST_000072,Male,43,61,48
CUST_000073,Male,37,25,18
CUST_000074,Female,43,42,47
CUST_000075,Female,40,58,47
CUST_000076,Female,41,69,57
CUST_000077,Female,39,69,25
CUST_000078,Male,24,64,44
CUST_000079,Male,23,60,26
CUST_000080,Male,31,55,49
CUST_000081,Female,50,47,17
CUST_000082,Female,33,93,40
CUST_000083,Male,38,80,56
CUST_000084,Male,18,71,36
CUST_000085,Male,36,37,46
CUST_000086,Male,35,36,50
CUST_000087,Female,18,59,71
CUST_000088,Female,37,49,50
CUST_000089,Female,18,37,42
CUST_000090,Female,27,62,57
CUST_000091,Male,44,22,62
CUST_000092,Female,36,58,28
CUST_000093,Female,30,70,29
CUST_000094,Female,29,69,52
CUST_000095,Female,30,23,75
CUST_000096,Female,36,22,43
CUST_000097,Female,22,55,69
CUST_000098,Male,46,47,74
CUST_000099,Male,23,35,76
CUST_000100,Male,18,16,21
CUST_000101,Male,44,42,77
CUST_000102,Female,30,57,75
CUST_000103,Male,35,55,62
CUST_000104,Female,41,35,43
CUST_000105,Female,27,39,47
CUST_000106,Male,36,53,54
CUST_000107,Male,41,43,61
CUST_000108,Female,51,66,28
CUST_000109,Male,29,71,27
CUST_000110,Male,30,69,79
CUST_000111,Male,40,38,62
CUST_000112,Male,37,66,48
CUST_000113,Female,33,67,50
CUST_000114,Female,50,89,68
CUST_000115,Female,18,99,50
CUST_000116,Female,20,84,17
CUST_000117,Female,18,50,73
CUST_000118,Male,47,44,97
CUST_000119,Female,40,55,56
CUST_000120,Female,21,48,80
CUST_000121,Female,33,101,8
CUST_000122,Female,34,79,62
CUST_000123,Male,18,72,9
CUST_000124,Male,36,76,43
CUST_000125,Male,23,87,60
CUST_000126,Male,42,72,23
CUST_000127,Female,23,56,36
CUST_000128,Female,37,74,32
CUST_000129,Male,47,74,69
CUST_000130,Female,44,37,42
CUST_000131,Male,40,108,42
CUST_000132,Male,34,47,64
CUST_000133,Male,19,90,69
CUST_000134,Male,30,56,25
CUST_000135,Female,32,83,100
CUST_000136,Male,32,61,81
CUST_000137,Female,19,31,92
CUST_000138,Female,39,81,43
CUST_000139,Male,23,89,66
CUST_000140,Female,50,59,53
CUST_000141,Female,36,77,87
CUST_000142,Male,44,46,20
CUST_000143,Female,44,61,97
CUST_000144,Male,55,82,62
CUST_000145,Male,36,67,51
CUST_000146,Male,31,70,34
CUST_000147,Female,31,80,70
CUST_000148,Female,49,93,57
CUST_000149,Male,21,82,63
CUST_000150,Male,26,66,77
CUST_000151,Female,37,59,59
CUST_000152,Male,33,63,82
CUST_000153,Male,44,34,9
CUST_000154,Female,21,65,77
CUST_000155,Female,34,37,22
CUST_000156,Male,33,52,50
CUST_000157,Female,24,75,1
CUST_000158,Female,43,52,49
CUST_000159,Male,34,88,71
CUST_000160,Female,33,59,30
CUST_000161,Male,26,84,88
CUST_000162,Female,31,54,9
CUST_000163,Female,24,57,32
CUST_000164,Female,43,83,5
CUST_000165,Male,45,56,45
CUST_000166,Female,51,67,12
CUST_000167,Male,39,51,25
CUST_000168,Male,31,15,93
CUST_000169,Male,30,48,1
CUST_000170,Female,39,89,20
CUST_000171,Female,37,66,1
CUST_000172,Male,33,77,70
CUST_000173,Female,32,78,67
CUST_000174,Male,46,75,13
CUST_000175,Female,30,91,61
CUST_000176,Male,48,53,69
CUST_000177,Female,36,89,56
CUST_000178,Male,31,73,1
CUST_000179,Female,27,68,21
CUST_000180,Male,33,18,46
CUST_000181,Male,40,68,25
CUST_000182,Male,31,78,8
CUST_000183,Female,43,64,73
CUST_000184,Female,30,85,50
CUST_000185,Male,33,85,77
CUST_000186,Female,22,54,87
CUST_000187,Female,40,62,30
CUST_000188,Female,32,54,1
CUST_000189,Female,50,51,59
CUST_000190,Male,42,61,18
CUST_000191,Male,35,64,50
CUST_000192,Female,47,18,62
CUST_000193,Female,39,59,43
CUST_000194,Female,45,68,70
CUST_000195,Male,26,62,63
CUST_000196,Male,39,58,31
CUST_000197,Female,40,39,19
CUST_000198,Female,19,33,42
CUST_000199,Female,50,49,57
CUST_000200,Female,23,23,48
CUST_000201,Female,22,59,47
CUST_000202,Male,18,43,76
